metric,raw_vs_gt,filtered_vs_gt,improvement
precision,0.9797159677464357,0.9805594800791184,0.0008435123326827609
recall,0.5611864921449233,0.5546019721596267,-0.006584519985296633
f1,0.7136121611185627,0.7084860301548576,-0.005126130963705178
iou,0.5547410660684382,0.5485701639292433,-0.0061709021391949115
accuracy,0.5673053303856547,0.5615788504053059,-0.005726479980348809
kappa,0.04631632201530724,0.047091692632537645,0.0007753706172304031
tp,35114.0,34702.0,
fp,727.0,688.0,
fn,27457.0,27869.0,
tn,1838.0,1877.0,
