metric,raw_vs_gt,filtered_vs_gt,improvement
precision,0.9777923510298984,0.9782319908218102,0.0004396397919118611
recall,0.5242364673730642,0.517827747678637,-0.006408719694427134
f1,0.682536049439231,0.6771864190693153,-0.005349630369915648
iou,0.5180681028492008,0.5119288377678064,-0.006139265081394396
accuracy,0.5315340211250307,0.5257461311717023,-0.005787889953328351
kappa,0.03638288919040623,0.03639171132393186,8.822133525633602e-06
tp,32802.0,32401.0,
fp,745.0,721.0,
fn,29769.0,30170.0,
tn,1820.0,1844.0,
