metric,raw_vs_gt,filtered_vs_gt,improvement
precision,0.9782651153706649,0.9786069090088056,0.0003417936381407971
recall,0.560355436224449,0.5541544805101405,-0.006200955714308565
f1,0.7125553794252732,0.7076109915002602,-0.004944387925013061
iou,0.5534648776637727,0.5475216725354892,-0.005943205128283502
accuracy,0.5657086710881847,0.5600743060673053,-0.005634365020879328
kappa,0.04279719405226391,0.04258544342553435,-0.00021175062672956074
tp,35062.0,34674.0,
fp,779.0,758.0,
fn,27509.0,27897.0,
tn,1786.0,1807.0,
